FD,FDH,PH,JJS,JCX,JYJ,JYC,JYK,HQSX,SJC,HXC,SHS,HYC,MC,,,,
74,37,65,60,0.53,68,17.3,0.6,0,4.2,16.7,28,0.33,4.3,,,,
77,40,88,60,0.6,68,30,1,0,4.3,24.8,79,0.3,4.5,,,,
81,44,78,35,0.47,100,18.7,0.8,0,2.8,17,38,0.24,3,,,,
79,42,61,50,0.43,65,21,0.8,25,1.3,20.3,44,0.3,3.7,,,,
82,45,84,50,0.47,57,19.7,0.7,0,10.7,16.3,33,0.38,4.2,,,,
74,37,68,50,0.43,60,18.7,0.8,0,5.5,19.3,37,0.3,4.7,,,,
77,40,68,45,0.5,47,17.7,0.8,0,0,18.7,34,0.31,5.7,,,,
74,37,58,40,0.43,63,18,0.9,0,0,18.8,38,0.3,5,,,,
74,37,63,50,0.5,48,21.8,0.8,27,3,17.3,40,0.31,4.5,,,,
82,45,54,40,0.3,43,21.7,0.9,0,2.5,17.8,32,0.27,2.8,,,,
77,40,71,60,0.47,35,24.3,1.2,28,2.7,21.5,52,0.3,4.7,,,,
66,29,61,55,0.47,65,20.3,0.8,33,1.5,16.8,41,0.3,3.5,,,,
74,37,61,65,0.4,62,21.8,0.8,17,0,13.5,43,0.3,0.1,,,,
78,41,62,50,0.47,70,16,0.7,0,1.5,12.8,25,0.3,2.2,,,,
81,44,73,35,0.6,55,23.2,1,27,1.2,21.7,58,0.27,4,,,,
82,45,71,45,0.57,70,23.7,0.9,35,0,21,57,0.28,4.3,,,,
76,39,67,40,0.47,50,18.7,0.9,0,2,19,39,0.3,4.2,,,,
68,31,60,40,0.47,58,14.2,0.8,0,0.3,15.8,32,0.28,2.2,,,,
93,56,63,50,0.57,52,21.8,0.9,25,0,21,41,0.29,4.3,,,,
82,45,64,50,0.53,73,17.3,0.8,30,1,19.3,48,0.3,3.2,,,,
70,33,75,50,0.53,83,19.7,1,30,2,22,46,0.3,3.3,,,,
75,38,59,50,0.53,20,23.8,0.9,0,0,18.3,36,0.3,5.2,,,,
